,black,white,start_time,fifthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
203,Cvrk120,glauss,1606852237.0,e4e5,1.0,1.0,956,1000,1,0
204,AmauBzh,Mfalici,1606852518.0,f2f3,-1.0,1.0,1016,1069,0,0
205,FlameHashira,andpa,1606852707.0,e4e5,-1.0,0.0,1054,1173,0,0
206,Tobias_Eitsch,bhanu4ds,1606852713.0,e4e5,0.0,0.0,945,1017,1,0
207,glibozom,deSade23,1606853195.0,e4d5,2.0,1.0,815,825,0,0
208,PJ00,AcuriaL,1606853497.0,b1c3,4.0,0.0,1017,1149,0,0
209,Racehorses,Elements4,1606853510.0,b1c3,12.0,0.0,1062,965,0,0
210,N1N3,reza1edalat,1606853895.0,e4e5,0.0,1.0,1164,1100,1,0
211,mohammad_abdoli7,abdsbs,1606854027.0,e4e5,1.0,1.0,1096,1115,0,0
212,c0t0,dimitris2000,1606854050.0,b1c3,2.0,1.0,1129,1183,0,0
213,ArnoRacam,satancale,1606854363.0,b1c3,2.0,0.0,1173,1153,0,0
214,DemoGorgonIsEvil,broqolo,1606854380.0,e4e5,4.0,0.0,1040,1044,0,0
215,rudack,cemo46,1606854382.0,e4e5,0.0,1.0,1180,1172,0,0
216,EmmanuelR20,Robert1995,1606854706.0,f2f3,4.0,1.0,1109,1113,0,0
217,Harhota,Tom-ash-8891,1606854773.0,e4e5,0.0,1.0,929,1035,0,0
218,delra,DontBiteShaggy,1606854816.0,e4e5,1.0,0.0,1143,1142,0,0
219,blacknit3,transduna,1606854945.0,e4e5,0.0,0.0,1088,1039,0,0
220,delra,Ace90Due,1606855024.0,e4e5,6.0,0.0,1148,1114,1,0
221,bitan_chess09,wuwuniox,1606855056.0,b1c3,2.0,1.0,1067,1041,0,0
222,Torben321,Power_tom,1606855222.0,e4e5,3.0,1.0,959,976,1,0
223,Faraonas,vadimbessarab,1606855298.0,e4e5,0.0,0.5,1184,1194,0,0
224,fortunatorinaldi,Frazbazz,1606855311.0,b1c3,4.0,1.0,1190,1166,0,0
225,blacknit3,GruenerPanther,1606855756.0,e4e5,7.0,0.0,1094,1049,1,0
226,VinceDPrime,joommi,1606855772.0,e4d5,2.0,0.0,1009,1041,0,0
227,Matassa2016,glauss,1606856065.0,e4e5,1.0,1.0,998,1009,0,0
228,Ziganshin_Alexei,Malaflaka,1606856127.0,e4d5,0.0,1.0,1099,1179,0,0
229,Bigk3b3m,AlferdoAdriano,1606856176.0,e4d5,0.0,0.0,1083,1089,0,0
230,RKoponen,Isawthatmove,1606856327.0,e4d5,2.0,0.0,1186,1196,0,0
231,ChinexJasen,sdrachenreiter,1606856381.0,e4d5,3.0,0.0,1080,1075,0,0
232,poorchild42,seanyboy98,1606856445.0,b1c3,5.0,0.0,1003,979,0,0
233,Cvrk120,anhurpe,1606856492.0,e4e5,2.0,1.0,1120,1130,2,0
234,lotheg,turbotobi,1606856653.0,e4e5,0.0,0.0,975,1002,0,0
235,aolhaberry,kadonline2,1606856709.0,e4e5,2.0,0.0,1200,1087,0,0
236,Gilda2019,Saturos600,1606856798.0,f2f3,1.0,1.0,1117,1081,0,0
237,InsolentUK,abdsbs,1606857215.0,e4e5,1.0,1.0,1135,1123,0,0
238,skillerxyz,WojSan16,1606857261.0,e4d5,1.0,0.0,981,1092,1,0
239,francescoedoardob,edvardnaarstad,1606857422.0,e4e5,7.0,1.0,1126,1126,0,0
240,Mareczekchess,frensiz-ford-hoppala,1606857422.0,e4d5,2.0,1.0,1156,1191,0,1
241,Anatoliy_Karakulov,AntonDonev,1606857589.0,e4d5,-2.0,1.0,1169,1168,0,0
242,blacknit3,Douxlit,1606857648.0,f1d3,0.0,0.0,1080,1090,2,0
243,frost17533,jojogunna,1606857711.0,b1c3,8.0,0.0,1135,1137,0,0
244,Poyamann,chess-champion_1,1606857921.0,c1e3,1.0,0.0,1004,954,0,0
245,Steph09,Fyakos,1606858023.0,e4e5,0.0,1.0,1115,1155,0,0
246,InsolentUK,bebo13,1606858035.0,e4d5,1.0,0.0,1104,1101,1,0
247,ColdDelight,hopster,1606858083.0,b1c3,0.0,1.0,1087,1000,0,0
248,Jcottin54,naryfromBM,1606858102.0,b1c3,5.0,1.0,1191,1162,0,0
249,Jokv2212,Ali_Efe_Hadimli,1606858114.0,e4d5,1.0,0.0,854,840,0,0
250,mrostory,someonejr,1606858237.0,e4e5,2.0,1.0,1044,1031,0,0
251,iX4n,VENOM40460,1606858259.0,e4e5,0.0,1.0,1183,1180,0,0
252,Pruissische,SpleensGambit,1606858353.0,b1c3,1.0,0.0,918,885,0,0
253,blacknit3,Laydn,1606858387.0,e4d5,1.0,0.0,1097,1046,3,0
254,Kottton,safakozcelik,1606858410.0,e4e5,-1.0,0.0,1127,1131,0,0
255,Qasnankz,HypnoTiCzZ,1606858469.0,e4d5,3.0,0.5,990,1075,0,0
256,Baraka7,jcpfalcon,1606858543.0,e4e5,1.0,0.0,1159,1193,2,0
257,justiceforchess,Jrobersonike,1606858582.0,e4e5,1.0,1.0,941,1075,0,0
258,SenatorMuffins,Nancho78,1606858669.0,e4d5,5.0,1.0,1076,1092,0,0
259,iinesankka,taumeras,1606858751.0,e4e5,1.0,1.0,1051,995,0,0
260,KaiserUprising,muhammettekin,1606858796.0,f2f3,3.0,1.0,904,879,0,0
261,JoseSaltaaire01,bot123456789,1606858964.0,e4e5,2.0,1.0,1061,1125,0,0
262,Akshay0,gofret08,1606859142.0,e4e5,0.0,1.0,1103,1109,0,0
263,RJayHall,rishu_kewl,1606859459.0,b1c3,4.0,0.0,1036,886,1,0
264,liesrock,JuanyRosso,1606859670.0,e4e5,1.0,0.0,1144,1156,0,0
265,pepega_kekw,brunozer09,1606859788.0,e4d5,1.0,1.0,1138,1071,0,0
266,blhall,GambitFail,1606860136.0,e4e5,0.0,0.0,1073,1057,0,0
267,Iznogoat,MarkBelick,1606860257.0,e4d5,1.0,0.0,1124,1098,0,0
268,Brisa6149,smdrespectfully,1606860315.0,e4d5,1.0,1.0,1035,1068,0,0
269,Succre,thewolf1994,1606860442.0,e4e5,2.0,1.0,1048,1075,0,0
270,mysteryadam1,thewho69,1606860473.0,b1c3,3.0,0.0,934,1004,0,0
271,big_dill,awadayman,1606860518.0,b1c3,1.0,1.0,1003,1026,0,0
272,Jaeger11502,swarlow,1606860548.0,e4d5,3.0,0.5,1067,1028,0,0
273,Matassa2016,mcoutinho,1606860630.0,e4e5,1.0,1.0,1011,1018,1,0
274,ajun1,NikitaKublitski,1606860845.0,b1c3,5.0,1.0,1135,981,1,0
275,OleksandrNebelskyi,andreriella,1606860869.0,b1c3,1.0,1.0,1167,1167,0,0
276,Akshay0,RussellFrege,1606860934.0,e4e5,0.0,1.0,1113,1099,1,0
277,ROBYXG,sepehrj,1606861029.0,c1f4,9.0,1.0,1070,1118,0,0
278,fpittaro,Comrade_Engine,1606861039.0,b1c3,3.0,0.0,1067,1048,0,0
279,botan555,Jonataas,1606861123.0,e4e5,2.0,0.0,811,806,0,0
280,TroutMan,AliceBagr,1606861203.0,e4e5,1.0,0.0,1128,1073,1,0
281,Iznogoat,keatalay,1606861222.0,e4e5,1.0,1.0,1130,1118,1,0
282,AnthonyMark,Roman_Abramov,1606861566.0,e4d5,2.0,1.0,1062,1028,1,0
283,officialgenS,Lhf77,1606861569.0,e4e5,1.0,0.0,1105,1021,0,0
284,Jimuell09,Boshuriken,1606861625.0,e4e5,1.0,1.0,1200,1198,1,0
285,dipsdips,YMN-RELL,1606861653.0,e4e5,1.0,0.0,1149,1154,0,0
286,ziwa09,jyusufyigit0j,1606861707.0,e4d5,0.0,0.0,1188,1081,0,0
287,YMN-RELL,can_baki,1606861840.0,e4e5,2.0,0.0,1149,1189,0,1
288,taylormar,LesJacques,1606861841.0,e4e5,-1.0,0.0,1115,1130,1,0
289,sainiisback16,Skibidik,1606861874.0,e4e5,3.0,1.0,1016,970,0,0
290,p_cogito1,Theunique14,1606861941.0,c1f4,3.0,0.0,972,833,0,0
291,Edowicz,Alekshl,1606862062.0,b1c3,1.0,0.0,1123,1170,0,0
292,Poyamann,Zack_90,1606862275.0,e4d5,1.0,0.5,1039,1113,1,0
293,dipsdips,ljubanjazic997,1606862330.0,e4d5,3.0,0.0,1152,1095,1,0
294,ShinAion,Gagarin22,1606862397.0,e4d5,1.0,1.0,888,936,0,0
295,Nurik1606,MightyKnight091,1606862502.0,e4d5,1.0,0.0,1187,1196,0,0
296,Laquathus,triplex101,1606862684.0,e4e5,0.0,1.0,933,918,0,0
297,Artofmagic,Cedietto,1606862695.0,f2f3,7.0,1.0,1044,956,4,0
298,StayCold,fabienber,1606862780.0,e4e5,0.0,0.0,1190,1133,0,0
299,RaunakSenChess,santibascula,1606863023.0,e4e5,3.0,0.5,1060,997,0,0
300,Delatar,brinklebash,1606863067.0,e4e5,-1.0,0.0,1057,988,0,0
301,ettolrach,tom1337,1606863148.0,e4e5,1.0,1.0,1139,1157,0,0
302,vikrai,Alekshl,1606863214.0,b1c3,4.0,1.0,1135,1175,0,0
303,ventura_tpa,berkaks,1606863272.0,b1c3,1.0,1.0,1061,971,0,0
